place,place_address,station_name,station_address,distance
Parroquia de San Pedro Advincula,CALLE SIERRA GORDA 5,Pavones,Calle Hacienda de Pavones nº 342,2541.52
Parroquia de San Pedro de los Dominicos,AVENIDA BURGOS 204,Manuel Caldeiro,Paseo de la Castellana nº 298,3370.13
Parroquia de Santa Bárbara,CALLE GENERAL CASTA&amp;Ntilde;OS 2,Plaza de las Salesas,Plaza de las Salesas 7,59.15
Parroquia Nuestra Señora de Guadalupe,CALLE PUERTO RICO 1,Parque Berlín,Avenida de Concha Espina nº 34,300.93
Parroquia San Millán y San Cayetano,Calle EMBAJADORES 15,Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,123.42
Plaza de Toros de Las Ventas,Calle ALCALÁ 237,Ventas,Avenida de los Toreros nº 49,182.95
Plaza Mayor,Plaza MAYOR ,Calle Mayor,Calle Mayor nº 20,115.16
Puerta del Sol,PLAZA PUERTA DEL SOL 1,Puerta del Sol A,Puerta del Sol nº 1,50.82
Real Academia de Bellas Artes de San Fernando,Calle ALCALÁ 13,Puerta del Sol B,Puerta del Sol nº 1,102.01
Real Academia de la Historia,CALLE LEON 21,Antón Martín,Calle Atocha nº 54,141.89
Real Academia Española de la Lengua,CALLE FELIPE IV 4,Antonio Maura,Calle Antonio Maura nº 15,218.54
Real Basílica de San Francisco el Grande,Gran Vía SAN FRANCISCO 19,Plaza de San Francisco,Plaza de San Francisco nº 5,66.79
Real Casa de Correos,PLAZA PUERTA DEL SOL 7,Carretas,Calle Carretas nº 8,60.82
Real Casa de la Aduana (actual sede del Ministerio de Hacienda),CALLE ALCALA 5,Puerta del Sol A,Puerta del Sol nº 1,11.25
Real Colegiata de San Isidro,CALLE TOLEDO 37,Plaza de la Cebada,Plaza de la Cebada nº 16 ,225.76
Real Jardín Botánico,PLAZA MURILLO 2,Espalter,Calle Espalter nº 1,85.46
Real Monasterio de la Encarnación,Plaza ENCARNACION 1,San Quintín,Calle Pavía nº 6,91.94
Reforma del antiguo edificio de Unión Eléctrica,CALLE GRAN VIA 4,Sevilla,Calle Alcalá nº 27,144.16
Residencia de Estudiantes,CALLE PINAR 21,Serrano 113,Calle Serrano nº 113B,172.01
Restos del Antiguo Palacio del Buen Retiro,CALLE FELIPE IV 1,Marqués de Cubas,Calle del Marqués de Cubas nº 25,296.17
Salón del Prado,Paseo PRADO ,Huertas,Calle Jesús nº 1,271.13
Teatro Barceló,CALLE BARCELO 11,Barceló,Calle Barceló nº 7,59.25
Teatro María Guerrero,Calle TAMAYO Y BAUS 4,Plaza de las Salesas,Plaza de las Salesas 7,176.34
Teatro Real,PLAZA ISABEL II ,Palacio de Oriente,Calle Carlos III nº 1,128.34
Teatro Valle-Inclán,CALLE VALENCIA 1,Plaza de Lavapiés,Calle Valencia nº 1,38.33
Templo de Debod,CALLE FERRAZ 1,Ferraz,Calle Evaristo San Miguel nº 2,138.17
Terminal T4,AEROPUERTO TERMINAL T-4 ,Carlota O’Neill,Calle Carlota O'Neill nº 32,7261.35
