address,dock_bikes,geometry
"Calle Ofelia Nieto, 75,",3,"{'type': 'Point', 'coordinates': [-3.708734, 40.462051]}"
"Calle de María Auxiladora 1,",0,"{'type': 'Point', 'coordinates': [-3.71346147, 40.45772941]}"
"Avenida de Guadalajara, 101,",0,"{'type': 'Point', 'coordinates': [-3.61346199, 40.42218968]}"
"Calle Aquitania, 31,",0,"{'type': 'Point', 'coordinates': [-3.61726728, 40.41912347]}"
"Calle de los Aparejadores, 24,",9,"{'type': 'Point', 'coordinates': [-3.61537023, 40.42667885]}"
"Avenida de Niza, 9,",7,"{'type': 'Point', 'coordinates': [-3.60645414, 40.4271211]}"
"Calle Maria Sevilla Diago, 3,",21,"{'type': 'Point', 'coordinates': [-3.61095077, 40.43283006]}"
"Avenida de Hellin, 13,",23,"{'type': 'Point', 'coordinates': [-3.61579967, 40.43091667]}"
"Calle de El Toboso, 115,",13,"{'type': 'Point', 'coordinates': [-3.7363397, 40.3929901]}"
"Avenida Nuestra Señora de Fatima, 34,",0,"{'type': 'Point', 'coordinates': [-3.7470882, 40.3840155]}"
"Avenida de Abrantes, 108,",8,"{'type': 'Point', 'coordinates': [-3.73266666, 40.37734672]}"
"Avenida de Santa Eugenia, 9,",1,"{'type': 'Point', 'coordinates': [-3.60948153, 40.38600753]}"
"Avenida del Mediterraneo, sn,",9,"{'type': 'Point', 'coordinates': [-3.60463, 40.38305936]}"
"Calle Fuentespina, 33,",9,"{'type': 'Point', 'coordinates': [-3.60724755, 40.37941487]}"
"Calle Hilario Herránz Establos , 36,",17,"{'type': 'Point', 'coordinates': [-3.726638, 40.372839]}"
"Calle Rioja, 11,",0,"{'type': 'Point', 'coordinates': [-3.58815143, 40.45746674]}"
"Francisco Suarez, 28,",0,"{'type': 'Point', 'coordinates': [-3.67994416, 40.46437817]}"
"Calle de los Emigrantes, 15,",18,"{'type': 'Point', 'coordinates': [-3.63788349, 40.4685745]}"
"Calle de Santa Virgilia, 6,",3,"{'type': 'Point', 'coordinates': [-3.6447007, 40.4768447]}"
"Avenida Barranquilla, 17,",1,"{'type': 'Point', 'coordinates': [-3.6395164, 40.47490194]}"
"Avenida de San Luis, 23,",1,"{'type': 'Point', 'coordinates': [-3.65511455, 40.47148748]}"
"Calle Serrano nº 32,",1,"{'type': 'Point', 'coordinates': [-3.687807, 40.424924]}"
"Calle de Angel Mugica, 3,",6,"{'type': 'Point', 'coordinates': [-3.68529048, 40.48468297]}"
"Avenida Monasterio de Silos, 63A,",3,"{'type': 'Point', 'coordinates': [-3.69603345, 40.50501029]}"
"Calle Molins de Rey, 8,",6,"{'type': 'Point', 'coordinates': [-3.69374813, 40.4954662]}"
"Calle Caldas de Estrach, 14,",0,"{'type': 'Point', 'coordinates': [-3.6974725, 40.4963916]}"
"Calle de Mesena, 102,",10,"{'type': 'Point', 'coordinates': [-3.66340634, 40.46772408]}"
"Calle Delicias, 45,",10,"{'type': 'Point', 'coordinates': [-3.69091831, 40.40381914]}"
"Calle Costa Brava, 16,",3,"{'type': 'Point', 'coordinates': [-3.70865744, 40.49892399]}"
"Av. del Campo de Calatrava, 17,",2,"{'type': 'Point', 'coordinates': [-3.69112254, 40.50052161]}"
"Avenida Monasterio de Silos, 37,",1,"{'type': 'Point', 'coordinates': [-3.70290315, 40.50340494]}"
"Calle de Ramon Power, 8,",11,"{'type': 'Point', 'coordinates': [-3.634999, 40.463575]}"
"Calle Cebreros, 97,",9,"{'type': 'Point', 'coordinates': [-3.752080099999999, 40.4029976]}"
"Calle Alhambra, 58,",0,"{'type': 'Point', 'coordinates': [-3.74445208, 40.3988162]}"
"Calle de la Duquesa de Parcent, 14,",6,"{'type': 'Point', 'coordinates': [-3.7447281, 40.39500224]}"
"Calle Valmojado, 53,",11,"{'type': 'Point', 'coordinates': [-3.75757186, 40.39649629]}"
"Calle Los Yebenes, 159,",4,"{'type': 'Point', 'coordinates': [-3.75181704, 40.39302789]}"
"Avenida de Oporto, 102,",4,"{'type': 'Point', 'coordinates': [-3.72987333, 40.38745087]}"
"Avenida de Oporto, 34,",18,"{'type': 'Point', 'coordinates': [-3.72378064, 40.38550735]}"
"Calle del Boj, 5,",1,"{'type': 'Point', 'coordinates': [-3.6180818, 40.4560204]}"
"Avenida de Machupichu, 23,",16,"{'type': 'Point', 'coordinates': [-3.62579439, 40.45841466]}"
"Calle de Haendel, 8,",7,"{'type': 'Point', 'coordinates': [-3.62532131, 40.46275082]}"
"Calle Illescas, 80,",4,"{'type': 'Point', 'coordinates': [-3.7562323, 40.392175]}"
"Av de la plaza de Toros , 3,",4,"{'type': 'Point', 'coordinates': [-3.73725908, 40.38537202]}"
"Paseo de Marcelino Camacho, 53B,",2,"{'type': 'Point', 'coordinates': [-3.744521, 40.387737]}"
"Avenida Alfonso XIII, 113,",0,"{'type': 'Point', 'coordinates': [-3.66790332, 40.45866532]}"
"Calle Pradillo, 33,",6,"{'type': 'Point', 'coordinates': [-3.6717937, 40.44904126]}"
"Arturo Soria, 332,",2,"{'type': 'Point', 'coordinates': [-3.666529, 40.480694]}"
